METHOD,LR,VALUE
momentum,0.01,0.28327
momentum,0.01,0.235306
momentum,0.01,0.226208
momentum,0.01,0.224649
momentum,0.01,0.224361
momentum,0.01,0.22431
momentum,0.01,0.224301
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.01,0.224299
momentum,0.0422222222222,0.225083
momentum,0.0422222222222,0.224301
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
momentum,0.0422222222222,0.224299
