METHOD,LR,VALUE
momentum,0.01,0.281395
momentum,0.01,0.235683
momentum,0.01,0.226525
momentum,0.01,0.22491
momentum,0.01,0.224499
momentum,0.01,0.224379
momentum,0.01,0.22433
momentum,0.01,0.224316
momentum,0.01,0.224307
momentum,0.01,0.224303
momentum,0.01,0.224301
momentum,0.01,0.2243
